Date,Close,High,Low,Open,Volume,MA_7,MA_21,Return,Volatility,Momentum,RSI,MACD,Signal,Target,Stock
2025-08-12,229.21310424804688,230.36092560837628,226.63802588155735,227.57622481823225,55626200.0,217.37400599888392,212.67226882207962,0.010872370357085881,0.023048151150483406,18.584075927734375,191.38076532767468,4.272322602920724,2.184429923350285,232.88612365722656,AAPL
2025-08-13,232.88612365722656,234.552944884794,229.99163136972763,230.6304284784954,69878500.0,221.68158394949776,213.83467538016183,0.016024473911425474,0.02230490900720968,24.470352172851562,170.64441479654704,5.219797137839038,2.791503366248036,232.3371734619141,AAPL
2025-08-14,232.3371734619141,234.6727183450988,230.41085227691244,233.61473725595164,51916300.0,225.97198486328125,214.9210931687128,-0.002357161460252777,0.022345522123928187,25.39691162109378,175.98971036646196,5.858844724968435,3.4049716379921158,231.1494140625,AAPL
2025-08-15,231.1494140625,233.834298979768,228.9036945156081,233.5548328767578,56038700.0,228.62146868024553,215.95759655180433,-0.0051122228170207284,0.019335646744737683,29.383407592773438,188.49264004209112,6.198005535159666,3.9635784174256257,230.45074462890625,AAPL
2025-08-18,230.45074462890625,232.67649791960372,229.6722297518056,231.2592012143754,37476200.0,230.20550973074776,216.905760265532,-0.0030225879499951036,0.01787118911294667,27.717666625976562,168.78054187874685,6.337362961146368,4.438335326169774,230.1213836669922,AAPL
2025-08-19,230.1213836669922,232.42698672077373,228.9136940815642,230.8400151681398,39402600.0,230.41510881696428,217.77652340843565,-0.0014292032878627792,0.008954311258336308,27.8170166015625,154.13156705206808,6.348051660200923,4.820278592976004,225.5800323486328,AAPL
2025-08-20,225.5800323486328,230.0315543310328,225.3404986724704,229.54248102593337,42263900.0,230.24828229631697,218.33988008045014,-0.019734590701623533,0.011576417333661724,12.977005004882812,179.48289750289774,5.921810488363718,5.040584972053547,224.47213745117188,AAPL
2025-08-21,224.47213745117188,226.0890658711696,223.3542730460458,225.8395414786139,30621200.0,229.57100132533483,218.86234901064918,-0.004911316333835347,0.010431866372920182,5.109680175781222,147.33994189785543,5.431996752359197,5.118867328114677,227.3267059326172,AAPL
2025-08-22,227.3267059326172,228.65417758009715,224.98118568943212,225.7397343895232,42477800.0,228.77679879324776,219.53926449730284,0.012716805363276906,0.009459560271543177,-1.327484130859375,143.70672454100082,5.214051319509593,5.137904126393661,226.7278594970703,AAPL
2025-08-25,226.7278594970703,228.86378779922748,225.79962078901823,226.0491451945495,30983100.0,227.9754682268415,220.18196614583334,-0.002634298654397349,0.00945501204228961,-0.01995849609377842,144.70779411452315,4.936105736868541,5.097544448488637,228.87376403808597,AAPL
2025-08-26,228.87376403808597,229.0534295301293,224.2625578823749,226.438403395408,54575100.0,227.65037536621094,220.91878327869233,0.009464670754514737,0.010566930089570619,-0.3393402099609091,167.10946724197888,4.833273454745154,5.044690249739941,230.0515289306641,AAPL
2025-08-27,230.0515289306641,230.46073738560716,227.82576024347395,228.17510050695543,31259500.0,227.59334455217638,221.84366426013764,0.005145914812595631,0.010801712570356968,-2.8345947265624716,202.15297515128043,4.791579567535109,4.994068113298975,232.1175842285156,AAPL
2025-08-28,232.1175842285156,232.9659733126178,228.90370861616245,230.3809040856524,38074700.0,227.8785160609654,222.97232200985863,0.008980837064874292,0.011308581066079923,-0.21958923339849434,415.27467540764195,4.869122049264263,4.969078900492033,231.6983795166016,AAPL
2025-08-29,231.6983795166016,232.9360260407387,230.92984008944924,232.0676707602769,39418400.0,228.75256565638955,224.15127999441964,-0.0018060015285240594,0.006939581990373833,0.5489654541015909,290.52459622734443,4.8409453038080414,4.9434521811552345,229.28298950195312,AAPL
2025-09-02,229.28298950195312,230.4108447009183,226.53822101083423,228.8138823959992,44075600.0,229.43983023507258,225.46161251976378,-0.010424716908628229,0.008282728723427401,-1.167755126953125,17052.685589519842,4.571021353307032,4.868966015585594,238.01634216308597,AAPL
2025-09-03,238.01634216308597,238.395624134605,233.9141603097862,236.75874463665696,66427800.0,230.96692112513955,227.14176795596168,0.03808984120498149,0.015563413583506372,7.894958496093778,330.9341669293944,5.004128768437283,4.8959985661559315,239.3238525390625,AAPL
2025-09-04,239.3238525390625,239.4436193831587,236.28964239378743,237.9963808412042,47549400.0,232.766348702567,228.90460059756325,0.005493363876168722,0.015046613124143932,13.743820190429688,261.7145577761817,5.390733653378618,4.994945583600469,239.2340087890625,AAPL
2025-09-05,239.2340087890625,240.8609127003189,238.0362947520209,239.5434165987409,54870400.0,234.2463836669922,230.17274257114954,-0.00037540658420298634,0.015327556780198504,14.761871337890625,226.1728245934557,5.625029333564811,5.120962333593337,237.42745971679688,AAPL
2025-09-08,237.42745971679688,239.69313028194867,235.89038089866293,238.84475646782596,48999500.0,235.30008806501115,231.0329807826451,-0.007551389041256629,0.016231364201292686,10.100753784179688,262.0883326844927,5.600379250070546,5.216845716888779,233.9041748046875,AAPL
2025-09-09,233.9041748046875,238.3257397896772,232.9160527142261,236.54912730927947,66313900.0,235.55531529017858,231.28298005603608,-0.014839416284502027,0.017605823278132777,7.1763153076171875,483.3773683085319,5.236184755767795,5.220713524664583,226.35855102539065,AAPL
2025-09-10,226.35855102539065,231.9778454619465,225.5201526853384,231.7482872752143,83440800.0,234.79248264857702,231.26444353376115,-0.03225946602106411,0.021754015080752448,-2.5152130126953125,2348.711314948654,4.289245465805834,5.034419912892833,229.59239196777344,AAPL
2025-09-11,229.59239196777344,230.0115911363252,226.21881717306923,226.44839058875493,50208600.0,234.83668300083704,231.28250485374815,0.014286365271970913,0.022368145964769236,-0.4591369628906534,420.2720220764619,3.75643139111628,4.778822208537523,233.62472534179688,AAPL
2025-09-12,233.62472534179688,234.0638755168574,228.5843291396984,228.78394562468256,55824200.0,234.20930916922433,231.3176763625372,0.01756300955560164,0.01739785876237298,1.5071411132812784,360.37936072218497,3.6178437511406685,4.546626517058153,236.24969482421875,AAPL
2025-09-15,236.24969482421875,237.7368657054393,234.58287368836287,236.549127145038,42699500.0,233.77014378138952,231.50398690359933,0.01123583763910907,0.017965158865940183,4.551315307617159,265.93330694541646,3.677433977664748,4.372788009179471,237.6969451904297,AAPL
2025-09-16,237.6969451904297,240.76111223381088,235.87043992435724,236.72878926810645,63421100.0,233.5505632672991,231.8157741001674,0.006125935389198034,0.01821176027714701,8.413955688476562,279.0725586092874,3.797663569224227,4.257763121188423,238.5353546142578,AAPL
2025-09-17,238.5353546142578,239.6432435766681,237.27774187166392,238.5153883976145,46508000.0,233.7088339669364,232.2007555280413,0.003527220020250743,0.018005138036296872,0.5190124511718466,286.2355124857013,3.9154639887944143,4.189303294709621,237.42745971679688,AAPL
2025-09-18,237.42745971679688,240.74113579799257,236.199788714976,239.5134800259323,44249600.0,234.21216038295202,232.54866391136534,-0.004644573125239804,0.016907587855463757,-1.896392822265625,418.42161223949984,3.8747580124346257,4.126394238254622,245.032958984375,AAPL
2025-09-19,245.032958984375,245.83144010441063,239.7530294205925,240.77107799962133,163741300.0,236.8799329485212,233.47499375116257,0.03203293872010393,0.011685235691485819,5.7989501953125,223.65284158852063,4.405415573527279,4.182198505309153,255.5928192138672,AAPL
2025-09-22,255.5928192138672,256.15178189089505,247.64797087115,247.82763635806887,105517400.0,240.59427969796317,234.9569309779576,0.04309567281585802,0.016804243127046307,18.165359497070312,153.49026035223602,5.613350768490676,4.468428957945458,253.9459686279297,AAPL
2025-09-23,253.9459686279297,256.8504363399061,253.0975947938589,255.3932223520852,60275200.0,243.497314453125,236.22451491582962,-0.006443258425658294,0.018673547156429215,20.041793823242188,198.68434160564925,6.364396236110963,4.847622413578559,251.8300018310547,AAPL
2025-09-24,251.8300018310547,255.2534845023776,250.5624136207024,254.73446948849343,42303700.0,245.7230725969587,237.41985502697173,-0.008332350414175016,0.020230031266098798,25.471450805664034,242.61795039793634,6.711498368129867,5.220397604488821,256.3813171386719,AAPL
2025-09-25,256.3813171386719,256.6807646844572,251.2311452680336,252.72829161839877,55202100.0,248.39226858956474,238.72973850795202,0.018072966979806315,0.020417035886029927,26.788925170898438,203.49245305517326,7.270028058859111,5.630323695362879,254.97401428222656,AAPL
2025-09-26,254.97401428222656,257.10994249251326,253.2972024297037,253.61660096533103,46076300.0,250.7406485421317,239.91652352469308,-0.005489100657377954,0.021238179914855465,21.349288940429688,198.86227956286058,7.512509747561751,6.006760905802653,253.9459686279297,AAPL
2025-09-29,253.9459686279297,254.5148915782133,252.52867184357527,254.0757261912774,40127700.0,253.1004355294364,240.95597040085565,-0.004031962461707783,0.021170102559097154,17.696273803710938,174.10356927776184,7.534866291956831,6.3123819830334895,254.1455993652344,AAPL
2025-09-30,254.1455993652344,255.4331385813304,252.6284867333586,254.3751575512532,37704300.0,254.40224129813058,242.02488563174293,0.0007861150085717306,0.01888221184807958,16.448654174804716,126.29304380105566,7.482439640063234,6.546393514439439,254.9640350341797,AAPL
2025-10-01,254.9640350341797,258.29769267334166,254.44502000530687,254.55481135314997,48713900.0,254.31241498674666,243.24779256184897,0.003220341689918804,0.009076058155896486,16.428680419921875,128.79616732701612,7.421382975959148,6.721391406743381,256.6408386230469,AAPL
2025-10-02,256.6408386230469,257.68882891050583,253.66649683440303,256.09186667190835,42630200.0,254.69739641462053,244.1346733456566,0.00657662791005964,0.00894442805931698,19.21337890625,131.74324309990027,7.422734502898834,6.861660025974472,257.5291442871094,AAPL
